epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir
8,1.079918144226074,0.8338765684127808,0.7767052370503328,0.7281011934664925,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
9,1.0491596757041084,0.899999487622579,0.756708511597666,0.7032785657872747,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
10,1.0347554846286773,0.8201606578932868,0.7917539602513008,0.7336165634621546,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
11,1.016765628475613,0.8565786478042603,0.7889286275214463,0.7267754092880236,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
12,0.992772951274448,0.8192515256034003,0.8063640257066051,0.738469217163272,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
13,0.9783180071247948,0.8506687424871656,0.8039322876581505,0.7328095321478072,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
14,0.969767985121409,0.8457569008297391,0.8087221084420445,0.7320058494294294,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
15,0.9577031908512116,0.8313142987675137,0.8195100920412173,0.7380963691389597,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
16,0.9262752943674724,0.793816276105245,0.835011976120865,0.7496621293902574,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
17,0.9159210370487636,0.8118814625634088,0.8332048445378559,0.7429320219950044,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
18,0.9086809822559356,0.8189272948265076,0.8390940582998944,0.7464777531208915,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
19,0.9002077662361992,0.7933172297159831,0.8532146145945145,0.7521853503800529,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
20,0.8799131545755599,0.7787092580901251,0.8643353911880064,0.756780693346641,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
21,0.8758169213559892,0.7598252012252807,0.8698317817194336,0.7593316321515842,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
22,0.8507647572835286,0.8255501626120674,0.8491495832509465,0.7419322779426732,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
23,0.8419627478308148,0.7909572671466404,0.8657268992124691,0.7507675207104207,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
24,0.835423666826884,0.8166502045207553,0.8658306995810232,0.7471047535298123,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
25,0.8328847711881002,0.8086293064223395,0.867960203709293,0.7482149230321339,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
0,1.8391486192915172,1.4911232208251952,0.4499985169379195,0.4447247153579224,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
1,1.5112520428551568,1.221967205895318,0.5536283597245402,0.5429100517619574,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
2,1.3821972428215874,1.1134430642551847,0.635042773317239,0.6194986848198463,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
3,1.3002757897377015,1.0515067802853055,0.6459627146827785,0.6254734858964136,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
4,1.240252056090037,1.0107260354359944,0.679604748259469,0.6520600960234907,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
5,1.1845861402988431,0.9085257139311896,0.7298427229697161,0.6980115257518088,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
6,1.151766636159685,0.9071953140258788,0.7394625275092404,0.7051363332050327,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
7,1.112986136335797,0.9046421304914688,0.7412478935993221,0.7015001555849203,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
8,1.0773527885225085,0.8750573472340901,0.773263581181414,0.7247998017027284,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
9,1.0498695281134711,0.8606838365130954,0.7811010209646048,0.7288992603891113,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
10,1.0405155066808065,0.8210844079335531,0.7902101530744121,0.735040445624376,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
11,1.0128579203340742,0.8524606227344936,0.7946452010655569,0.7331887523369909,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
12,0.9947280632654826,0.8108756319575839,0.8046699186427089,0.7380231950359628,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
13,0.9723275074217056,0.8348129477183024,0.8061043920971181,0.7344903369883278,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
14,0.9605922493669722,0.8186424777560763,0.8232696739357136,0.74632018543007,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
15,0.9352447105063332,0.7843670274734497,0.8359707975717015,0.7510853692825917,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
16,0.9335417125701904,0.7991369544453091,0.8395019083372963,0.7504169857743526,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
17,0.9163179984410604,0.7898238068898519,0.8441118032370131,0.7515155992260187,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
18,0.9024776134385004,0.8023409424040052,0.843847062884991,0.7495858945950511,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
19,0.8909481468624539,0.8098882105509441,0.8344258081752629,0.7385795920537868,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
20,0.8729086357222663,0.8104232744216919,0.8636839083190158,0.760220689899618,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
21,0.8673637797249688,0.7929344768736097,0.8711427672141051,0.7621329951219474,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
22,0.8570380684667164,0.7885192629708184,0.8675103542946374,0.7525943104632014,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
23,0.851583284775416,0.7852315836694506,0.8787844696533649,0.7600942892913738,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
24,0.8300654358175066,0.7956572867499457,0.8761052641680621,0.7565827662070079,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
25,0.8350490244759453,0.7679655039363438,0.88242393666092,0.7579940838783188,0.01,128,mbv2_cutmix1,7,mbv2_cutmix1_seed_7,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_7
0,1.836933912001716,1.4445081597858005,0.431620011031694,0.4278686236019421,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
1,1.5036953264130486,1.2629303397284617,0.546995897835529,0.5396680526505512,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
2,1.3720811332066851,1.21326393799252,0.5747677973436299,0.5588290522735584,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
3,1.293865274365743,1.0209035283194647,0.6740337403756327,0.6524884927061847,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
4,1.2320312574810452,0.960897337129381,0.7051679927489619,0.6798110977683605,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
5,1.1868918623712328,0.9368399835480584,0.7185769065142812,0.6896434532126794,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
6,1.1335919910642835,0.9296834115982056,0.7260555175916101,0.6903518062130589,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
7,1.112542279847463,0.8974899477216932,0.7562546758645433,0.7148817311024529,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
8,1.077890262381236,0.8828092870924208,0.7558441381147329,0.7136657814128002,0.01,128,mbv2_cutmix1,999,mbv2_cutmix1_seed_999,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_999
